"","release_nb","fam_int_id","age","sex","num_children","marital","life_satisfaction","house_val","weeks_employed_last_yr","leisure_hrs","itemize_tax","health_status","race_ref_1","race_ref_2","race_ref_3","race_ref_4","religious_pref","religious_denom","donated_gt_25_charity_last_yr","religious_attend_nb","religious_attend_freq","respondant_was","taxable_income","total_fam_income","education","immigrant_fam_wt","house_val_thousand","donated"
"37","1","6798",20,"Female",1,"Never married","Completely satisfied",NA,7,20,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",1800,1800,"HS",14.305,"Does not own home","No"
"38","1","5140",18,"Female",0,"Never married","Completely satisfied",NA,0,3,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",0,100,"SomeHS",17.279,"Does not own home","No"
"40","1","4690",28,"Male",2,"Married","Completely satisfied",43000,52,21,"Yes","Very good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Spouse or new spouse",370000,370000,"HS",17.717,"[0.145, 65)","No"
"41","1","4596",55,"Male",2,"Married","Somewhat satisfied",NA,0,0,"No; did/will not file","Fair","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Other","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Spouse or new spouse",0,21600,"HS",9.495,"Does not own home","No"
"42","1","5879",24,"Male",2,"Married","Not very satisfied",NA,52,5,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",47600,49800,"HS",12.237,"Does not own home","No"
"43","1","4873",22,"Male",1,"Never married","Somewhat satisfied",NA,52,20,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Christian","No",0,"None*","Current Reference Person",32000,39200,"HS",12.031,"Does not own home","No"
"45","1","1119",73,"Female",0,"Divorced, annulled","Completely satisfied",120000,0,40,"No; did/will not file","Good","Black, African-American, or Negro","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Baptist","No",2,"Week","Current Reference Person",3600,19000,"SomeCollege",11.7,"[100, 150)","No"
"46","1","1458",53,"Female",1,"Divorced, annulled","Completely satisfied",NA,52,12,"No; did/will not file","Very good","Black, African-American, or Negro","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Methodist/African Methodist","No",1,"Week","Current Reference Person",17000,39000,"SomeCollege",6.05,"Does not own home","No"
"47","1","1478",51,"Male",0,"Never married","Somewhat satisfied",NA,52,14,"No; did/will not file","Fair","Black, African-American, or Negro","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Baptist","Yes",2,"Month","Current Reference Person",16700,16700,"SomeCollege",10.935,"Does not own home","Yes"
"48","1","1151",70,"Male",0,"Married","Somewhat satisfied",NA,0,20,"No; did/will not file","Fair","Black, African-American, or Negro","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Baptist","Yes",2,"Week","Current Reference Person",200,50888,"SomeCollege",6.225,"Does not own home","Yes"
"49","1","1173",41,"Male",0,"Never married","Somewhat satisfied",NA,52,18,"No; did/will not file","Fair","Black, African-American, or Negro","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Baptist","No",2,"Month","Current Reference Person",6500,7300,"SomeHS",5.419,"Does not own home","No"
"50","1","1744",24,"Male",0,"Never married","Very satisfied",NA,0,0,"No; did/will not file","Very good","Black, African-American, or Negro","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Christian","No",0,"None*","Current Reference Person",10000,10000,"HS",2.347,"Does not own home","No"
"51","1","1510",50,"Male",1,"Married","Very satisfied",290000,52,25,"Yes","Very good","Black, African-American, or Negro","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Baptist","Yes",2,"Month","Current Reference Person",179500,179500,"College",2.69,"[240, 300)","Yes"
"52","1","1566",26,"Male",2,"Married","Completely satisfied",NA,52,7,"No; did/will not file","Excellent","Black, African-American, or Negro","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Other","Inap.: not Protestant (ER70941 ne 08)","No",60,"Year","Spouse or new spouse",42000,52847,"SomeHS",1.733,"Does not own home","No"
"53","1","214",98,"Female",0,"Widowed","Somewhat satisfied",NA,0,4,"Yes","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Latter Day Saints; Mormon","Yes",0,"None*","Current Reference Person",4050,16050,"HS",73.404,"Does not own home","Yes"
"54","1","503",64,"Male",0,"Divorced, annulled","Very satisfied",2e+05,0,40,"Yes","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","Yes",0,"None*","Current Reference Person",700,23730,"SomeCollege",66.073,"[185, 240)","Yes"
"55","1","3808",88,"Male",0,"Widowed","Not very satisfied",225000,0,40,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Catholic","Inap.: not Protestant (ER70941 ne 08)","Yes",0,"None*","Current Reference Person",5181,23301,"SomeHS",73.846,"[185, 240)","Yes"
"56","1","3820",66,"Female",0,"Divorced, annulled","Somewhat satisfied",NA,32,40,"No; did/will not file","Poor","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Other","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",9000,29400,"SomeCollege",77.337,"Does not own home","No"
"57","1","3838",68,"Male",0,"Married","Very satisfied",305000,0,14,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Other Protestant","Yes",0,"None*","Current Reference Person",1840,73814,"SomeCollege",36.292,"[300, 450)","Yes"
"58","1","1223",53,"Male",0,"Married","Very satisfied",NA,0,20,"No; did/will not file","Fair","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","Yes",0,"None*","Current Reference Person",0,47520,"SomeHS",36.325,"Does not own home","Yes"
"59","1","2521",32,"Male",3,"Married","Very satisfied",1e+05,52,10,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",58800,63600,"SomeCollege",11.396,"[100, 150)","No"
"60","1","2400",25,"Male",0,"Never married","Completely satisfied",3e+05,12,40,"No; did/will not file","Very good","White","American Indian or Alaska Native","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",120300,120300,"College",18.652,"[300, 450)","No"
"61","1","1723",22,"Female",0,"Never married","Very satisfied",NA,26,15,"No; did/will not file","Very good","Other","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",25020,27020,"College",34.864,"Does not own home","No"
"62","1","1371",55,"Male",0,"Married","Completely satisfied",220000,52,14,"No; did/will not file","Excellent","American Indian or Alaska Native","White","Other","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Other","Inap.: not Protestant (ER70941 ne 08)","Yes",0,"None*","Current Reference Person",74050,93050,"College",35.724,"[185, 240)","Yes"
"65","1","7511",55,"Female",0,"Divorced, annulled","Somewhat satisfied",NA,0,2,"No; did/will not file","Poor","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Pentecostal/Assembly of God","No",1,"Week","Current Reference Person",0,3000,"College",71.252,"Does not own home","No"
"66","1","5223",54,"Male",0,"Married","Somewhat satisfied",NA,52,50,"No; did/will not file","Excellent","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Pentecostal/Assembly of God","No",80,"Year","Spouse or new spouse",28220,28220,"HS",20.88,"Does not own home","No"
"67","1","9035",59,"Male",0,"Married","Very satisfied",520000,52,15,"Yes","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Catholic","Inap.: not Protestant (ER70941 ne 08)","Yes",1,"Week","Spouse or new spouse",104050,104050,"SomeCollege",41.862,"[450, 4500)","Yes"
"68","1","7548",43,"Male",11,"Married","Completely satisfied",25000,52,4,"Yes","Very good","White","American Indian or Alaska Native","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Pentecostal/Assembly of God","Yes",1,"Week","Current Reference Person",42000,56400,"College",15.509,"[0.145, 65)","Yes"
"69","1","6436",27,"Male",0,"Never married","Somewhat satisfied",NA,52,14,"No; did/will not file","Very good","American Indian or Alaska Native","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Other","Inap.: not Protestant (ER70941 ne 08)","Yes",2,"Week","Current Reference Person",39000,39450,"HS",42.087,"Does not own home","Yes"
"70","1","5969",37,"Male",2,"Married","Somewhat satisfied",125000,52,20,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Pentecostal/Assembly of God","No",1,"Week","Spouse or new spouse",64010,64010,"SomeCollege",18.438,"[100, 150)","No"
"72","1","5520",60,"Male",0,"Married","Completely satisfied",230000,52,5,"Yes","Very good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Baptist","Yes",0,"None*","Current Reference Person",88000,88000,"HS",24.031,"[185, 240)","Yes"
"73","1","3992",63,"Male",0,"Married","Very satisfied",6e+05,52,21,"Yes","Very good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Baptist","Yes",4,"Year","Current Reference Person",125400,125400,"HS",29.404,"[450, 4500)","Yes"
"74","1","4364",64,"Male",0,"Divorced, annulled","Very satisfied",NA,33,20,"No; did/will not file","Very good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","None/Athiest/Agnostic","Inap.: not Protestant (ER70941 ne 08)","No",0,"None*","Current Reference Person",40050,53850,"HS",69.662,"Does not own home","No"
"75","1","3818",69,"Male",0,"Divorced, annulled","Somewhat satisfied",130000,0,40,"No; did/will not file","Good","White","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Inap.: DK, NA, or RF to first mention (ER70882=9); no second mention","Protestant","Baptist","Yes",24,"Year","Current Reference Person",0,56760,"HS",56.314,"[100, 150)","Yes"
